label,metric,step,value,rolling_value
Tent+SAFER (100%),batch_acc,60,67.1875,72.0
Tent+SAFER (100%),batch_acc,61,65.625,71.875
Tent+SAFER (100%),batch_acc,62,79.6875,72.5625
Tent+SAFER (100%),batch_acc,63,81.25,72.9375
Tent+SAFER (100%),batch_acc,64,71.875,73.0
Tent+SAFER (100%),batch_acc,65,65.625,72.625
Tent+SAFER (100%),batch_acc,66,71.875,73.125
Tent+SAFER (100%),batch_acc,67,68.75,73.0
Tent+SAFER (100%),batch_acc,68,71.875,73.3125
Tent+SAFER (100%),batch_acc,69,68.75,73.1875
Tent+SAFER (100%),batch_acc,70,67.1875,73.0
Tent+SAFER (100%),batch_acc,71,73.4375,72.625
Tent+SAFER (100%),batch_acc,72,75.0,72.8125
Tent+SAFER (100%),batch_acc,73,81.25,72.9375
Tent+SAFER (100%),batch_acc,74,70.3125,72.375
Tent+SAFER (100%),batch_acc,75,79.6875,72.4375
Tent+SAFER (100%),batch_acc,76,64.0625,72.125
Tent+SAFER (100%),batch_acc,77,71.875,72.0625
Tent+SAFER (100%),batch_acc,78,78.125,72.375
Tent+SAFER (100%),batch_acc,79,73.4375,72.5
Tent+SAFER (100%),batch_acc,80,78.125,73.0625
Tent+SAFER (100%),batch_acc,81,75.0,73.0
Tent+SAFER (100%),batch_acc,82,75.0,73.125
Tent+SAFER (100%),batch_acc,83,73.4375,72.8125
Tent+SAFER (100%),batch_acc,84,75.0,72.9375
Tent+SAFER (100%),batch_acc,85,75.0,73.25
Tent+SAFER (100%),batch_acc,86,75.0,73.625
Tent+SAFER (100%),batch_acc,87,65.625,73.0625
Tent+SAFER (100%),batch_acc,88,78.125,72.9375
Tent+SAFER (100%),batch_acc,89,79.6875,73.25
Tent+SAFER (100%),batch_acc,90,76.5625,73.6875
Tent+SAFER (100%),batch_acc,91,70.3125,73.625
Tent+SAFER (100%),batch_acc,92,73.4375,73.8125
Tent+SAFER (100%),batch_acc,93,79.6875,74.125
Tent+SAFER (100%),batch_acc,94,75.0,74.375
Tent+SAFER (100%),batch_acc,95,82.8125,75.0
Tent+SAFER-A (0%),batch_acc,0,73.4375,73.4375
Tent+SAFER-A (0%),batch_acc,1,73.4375,73.4375
Tent+SAFER-A (0%),batch_acc,2,81.25,76.04166666666667
Tent+SAFER-A (0%),batch_acc,3,82.8125,77.734375
Tent+SAFER-A (0%),batch_acc,4,82.8125,78.75
Tent+SAFER-A (0%),batch_acc,5,93.75,81.25
Tent+SAFER-A (0%),batch_acc,6,82.8125,81.47321428571429
Tent+SAFER-A (0%),batch_acc,7,85.9375,82.03125
Tent+SAFER-A (0%),batch_acc,8,82.8125,82.11805555555556
Tent+SAFER-A (0%),batch_acc,9,78.125,81.71875
Tent+SAFER-A (0%),batch_acc,10,84.375,81.96022727272727
